Clave	Nombre	1990	Homicidio	Operaciones legales y de guerra	1991	Homicidio2	Operaciones legales y de guerra 2	1992	Homicidio3	Operaciones legales y de guerra 3	1993	Homicidio4	Operaciones legales y de guerra 4	1994	Homicidio5	Operaciones legales y de guerra 5	1995	Homicidio6	Operaciones legales y de guerra 6	1996	Homicidio7	Operaciones legales y de guerra 7	1997	Homicidio8	Operaciones legales y de guerra 8	1998	Homicidio9	Operaciones legales y de guerra 9	1999	Homicidio10	Operaciones legales y de guerra 10	2000	Homicidio11	Operaciones legales y de guerra 11	2001	Homicidio12	Operaciones legales y de guerra 12	2002	Homicidio13	Operaciones legales y de guerra 13	2003	Homicidio14	Operaciones legales y de guerra 14	2004	Homicidio15	Operaciones legales y de guerra 15	2005	Homicidio16	Operaciones legales y de guerra 16	2006	Homicidio17	Operaciones legales y de guerra 17	2007	Homicidio18	Operaciones legales y de guerra 18	Criminal Rivalry Deaths	2008	Homicidio19	Operaciones legales y de guerra 19	Criminal Rivalry Deaths 2	2009	Homicidio20	Operaciones legales y de guerra 20	Criminal Rivalry Deaths 3	2010	Homicidio21	Criminal Rivalry Deaths 4
05017	Matamoros	58	32	0	70	25	0	43	12	0	63	27	0	56	19	0	44	17	0	48	14	0	39	10	0	47	14	0	38	13	0	49	10	0	39	7	0	34	7	0	47	4	0	43	6	0	72	13	0	44	4	0	37	3	0	5	69	15	0	12	67	31	0	2	58	14	4
05018	Monclova	100	13	0	92	16	0	101	16	0	102	13	0	85	6	0	93	7	0	75	8	0	65	7	0	73	10	0	72	10	0	65	4	0	71	12	0	80	3	0	80	9	0	60	11	0	88	17	0	76	6	0	66	6	0	0	65	2	0	0	103	20	0	1	87	10	0
05019	Morelos	2	0	0	5	0	0	5	1	0	5	3	0	6	0	0	3	0	0	0	0	0	8	0	0	4	0	0	5	1	0	8	1	0	5	0	0	6	1	0	1	0	0	3	0	0	5	1	0	1	0	0	2	0	0	0	2	0	0	1	7	0	0	1	6	2	0
05020	Mèªzquiz	41	9	0	23	2	0	33	3	0	37	5	0	47	8	0	26	5	0	39	9	0	38	2	0	40	5	0	34	1	0	35	6	0	32	4	0	43	2	0	38	6	0	24	5	0	28	3	0	31	1	0	55	3	0	0	40	8	0	1	42	1	0	0	41	4	0
05021	Nadadores	2	0	0	1	0	0	1	1	0	3	0	0	0	0	0	2	0	0	4	0	0	3	0	0	12	6	0	1	0	0	1	0	0	1	0	0	4	1	0	3	0	0	5	1	0	0	0	0	0	0	0	7	0	0	2	7	0	0	1	11	0	0	0	4	0	0
05022	Nava	7	0	0	5	1	0	12	0	0	10	2	0	10	0	0	6	1	0	6	2	0	15	1	0	9	0	0	9	0	0	11	1	0	8	0	0	15	0	0	11	2	0	6	1	0	7	0	0	19	1	0	17	0	0	0	14	2	0	1	6	1	0	0	19	2	0
05023	Ocampo	7	1	0	20	6	0	4	1	0	6	2	0	16	4	0	3	0	0	7	0	0	2	0	0	2	0	0	7	3	0	5	0	0	2	0	0	2	0	0	8	1	0	5	1	0	5	0	0	6	0	0	4	0	0	5	4	1	0	2	8	1	0	9	8	0	2
05024	Parras	19	3	0	32	4	0	25	1	0	25	0	0	33	6	0	19	3	0	23	5	0	22	0	0	19	0	0	16	1	0	23	1	0	28	2	0	34	4	0	22	1	0	13	3	0	20	4	0	20	2	0	21	3	0	5	15	4	0	3	21	1	0	1	26	5	0
05025	Piedras Negras	39	3	0	59	7	0	65	20	0	64	18	0	60	12	0	77	17	0	80	17	0	74	11	0	94	17	0	73	13	0	73	7	0	82	15	0	77	25	0	65	13	0	88	10	0	69	9	0	69	9	0	80	7	0	0	59	9	0	0	82	13	0	1	104	24	0
05026	Progreso	5	0	0	0	0	0	1	0	0	2	0	0	1	0	0	2	0	0	2	0	0	3	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	3	0	0	3	0	0	2	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	2
05027	Ramos Arizpe	17	0	0	22	1	0	15	5	0	15	1	0	16	1	0	15	1	0	22	1	0	20	0	0	16	1	0	19	5	0	11	2	0	21	1	0	29	1	0	16	1	0	21	1	0	22	3	0	32	1	0	27	1	0	0	22	0	0	0	43	4	0	1	49	6	0
05028	Sabinas	26	0	0	25	3	0	19	3	0	31	3	0	20	0	0	24	3	0	21	2	0	38	4	0	25	2	0	21	2	0	24	2	0	30	4	0	19	0	0	17	1	0	16	1	0	26	2	0	25	3	0	31	2	0	0	17	4	0	0	28	5	0	0	19	6	1
05029	Sacramento	4	0	0	1	1	0	0	0	0	1	0	0	0	0	0	4	0	0	3	0	0	2	0	0	0	0	0	6	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	3	0	0	1
05030	Saltillo	240	23	0	176	25	0	175	21	0	236	38	0	226	31	0	216	41	0	219	28	0	221	26	0	188	18	0	210	21	0	202	21	0	229	24	0	267	26	0	237	20	0	202	19	0	258	26	0	233	18	0	261	33	0	0	264	18	0	0	292	28	0	0	329	46	1
05031	San Buenaventura	15	2	0	16	0	0	10	4	0	8	0	0	8	0	0	16	2	0	11	0	0	10	1	0	13	1	0	8	0	0	6	0	0	9	1	0	14	0	0	4	0	0	8	0	0	6	0	0	9	0	0	8	0	0	0	14	2	0	1	7	1	0	1	21	1	0
05032	San Juan de Sabinas	29	0	0	14	1	0	23	7	0	22	2	0	19	4	0	16	0	0	23	2	0	21	1	0	13	2	0	7	1	0	18	0	0	35	1	0	15	3	0	30	2	0	15	1	0	13	1	0	30	1	0	41	2	0	2	22	3	0	0	16	3	0	0	29	7	0
05033	San Pedro	48	20	0	38	15	0	38	8	0	44	14	0	51	14	0	30	8	0	38	11	0	33	5	0	31	6	0	40	11	0	56	7	0	35	7	0	44	11	0	33	5	0	43	4	0	44	9	0	42	6	0	61	8	0	1	63	14	0	1	48	8	0	0	53	11	0
05034	Sierra Mojada	10	0	0	11	3	0	0	0	0	6	1	0	6	0	0	2	0	0	3	2	0	2	0	0	3	0	0	1	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	9	0	0	1	1	0	0	2	0	0	0	5	2	0	2	5	1	0
05035	TorreÌ_n	349	42	0	334	77	0	382	79	0	339	43	0	299	67	0	276	49	0	270	38	0	290	59	0	255	34	0	223	41	0	203	36	0	243	49	0	244	34	0	213	34	0	227	29	0	261	35	0	264	36	0	271	32	0	6	327	100	0	6	431	152	0	4	640	302	5
05036	Viesca	25	3	0	5	0	0	9	2	0	8	3	0	11	2	0	13	4	0	9	3	0	12	4	0	11	5	0	9	2	0	6	2	0	9	1	0	16	5	0	12	1	0	10	2	0	14	3	0	23	3	0	12	0	0	0	10	1	0	1	9	3	0	1	25	3	2
05037	Villa UniÌ_n	2	0	0	6	1	0	0	0	0	5	1	0	8	2	0	3	0	0	2	0	0	5	0	0	6	2	0	4	0	0	1	0	0	1	0	0	6	0	0	3	0	0	0	0	0	3	0	0	3	0	0	4	0	0	0	3	0	0	0	2	0	0	1	3	1	0
05038	Zaragoza	10	1	0	5	0	0	6	1	0	7	1	0	9	2	0	5	0	0	4	2	0	9	0	0	12	0	0	4	1	0	4	0	0	6	2	0	3	0	0	3	0	0	11	1	0	4	0	0	9	0	0	7	0	0	0	7	0	0	8	8	0	0	0	8	1	0
06001	ArmerÌÎa	37	7	0	34	10	0	36	15	0	17	4	0	24	4	0	19	3	0	21	4	0	25	1	0	31	5	0	6	3	0	17	6	0	21	5	0	14	2	0	15	2	0	25	2	0	17	2	0	17	6	0	18	2	0	0	16	5	0	0	14	4	0	1	23	5	0
06002	Colima	107	16	0	113	27	0	131	26	0	73	12	0	84	14	0	80	20	0	71	13	0	86	21	0	71	15	0	86	18	0	58	14	0	72	17	0	82	16	0	71	11	0	79	16	0	63	9	0	66	11	0	75	8	0	0	89	16	1	0	73	12	0	1	87	38	1
06003	Comala	13	0	0	16	5	0	15	3	0	15	5	0	9	1	0	13	2	0	7	2	0	12	0	0	6	5	0	12	1	0	6	0	0	7	1	0	8	0	0	10	0	0	9	1	0	10	2	0	11	0	0	9	3	0	5	10	1	0	7	5	1	0	8	11	5	10
06004	Coquimatlåán	13	3	0	21	5	0	20	7	0	15	3	0	12	2	0	15	5	0	9	3	0	11	0	0	6	0	0	14	4	0	16	2	0	5	0	0	10	3	0	10	2	0	13	3	0	9	1	0	13	1	0	11	2	0	15	9	1	0	4	13	2	0	14	11	4	13
06005	CuauhtÌömoc	15	2	0	21	2	0	13	1	0	14	3	0	18	5	0	18	2	0	15	2	0	14	2	0	14	3	0	13	2	0	19	4	0	25	3	0	15	1	0	13	2	0	12	0	0	13	2	0	17	0	0	10	1	0	2	17	5	0	7	17	1	0	1	26	3	0
06006	Ixtlahuacåán	8	0	0	4	1	0	7	4	0	2	1	0	4	1	0	3	0	0	6	0	0	4	0	0	3	2	0	5	1	0	5	1	0	3	2	0	3	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	4	1	0	1	5	1	0	2	8	3	5
06007	Manzanillo	115	23	0	109	25	0	102	26	0	74	14	0	108	21	0	92	17	0	66	10	0	78	12	0	62	16	0	68	11	0	74	12	0	67	10	0	63	9	0	61	11	0	54	9	0	61	12	0	75	11	0	81	13	0	0	94	15	0	4	112	23	0	9	79	27	8
06008	Minatitlåán	5	2	0	5	1	0	7	2	0	7	1	0	10	0	0	6	3	0	5	2	0	5	0	0	3	1	0	3	0	0	10	2	0	6	0	0	2	1	0	2	0	0	5	0	0	2	0	0	5	2	0	4	0	0	0	1	0	0	10	11	1	0	3	0	0	1
