"","State","Municipality","Lat","Lon","Clave","ConsultsPerDoc","ConsultsPerMedUnit","DocsPerMedUnit","AvEduc05","ReadWrite05","MissReadWrite05","IndLang05","MissIndLang05","Hom06","PopMun06","PartyMunBC","Inc06","Exp06","StatePop06","StateHom06","StateGDP06"
"89","Chiapas","Arriaga",16.2338169,-93.896297,7009,NA,NA,5.5,6.7,0.860907451923077,0.000751201923076923,0.00761048425011754,0.409266409266409,12,38866,"PRI",65461112,65461112,4394083.2,534,182807376
"90","Chiapas","Bejucal de Ocampo",15.4544694,-92.1578877,7010,NA,NA,0.7,4.4,0.83476512520563,0.00073112776457686,0.0117145899893504,0.333333333333333,1,6814.2,"PAN-PRD",22617527,22617527,4394083.2,534,182807376
"91","Chiapas","Bella Vista",16.7403279,-93.1592017,7011,NA,NA,0.9,5.3,0.850443008460462,0.000999267204050363,0.00888168557536467,0.372262773722628,1,17898.6,"PAN-PRD",39128934,39128934,4394083.2,534,182807376
"92","Chiapas","Berriozabal",16.8,-93.2666667,7012,NA,NA,1.8,6,0.800581435592164,0.00190350937910985,0.0325219674780325,0.19047619047619,4,35709.4,"PRI",50961895,50961895,4394083.2,534,182807376
"93","Chiapas","Bochil",16.994722,-92.891994,7013,NA,NA,6,5.6,0.758763732506724,0.00159547795961162,0.461029217053579,0.00583955581083668,1,27285.2,"PRD",42975070,42975070,4394083.2,534,182807376
"94","Chiapas","El Bosque",17.0624692,-92.7209999,7014,NA,NA,1.5,4,0.649983090970578,0.00312817044301657,0.955215373340933,0.00204586139289063,1,15657.4,"PRI",39965253,39965253,4394083.2,534,182807376
"95","Chiapas","Cacahoatan",14.9882917,-92.1651776,7015,NA,NA,3.3,6.4,0.827585230490429,0.000821157548986295,0.021804366379429,0.143939393939394,8,41542.2,"PRI",56987403,56987403,4394083.2,534,182807376
"96","Chiapas","Catazaja",17.7235734,-92.0113139,7016,NA,NA,1.8,5.7,0.820353356890459,0.00247349823321555,0.0217331118493909,0.270700636942675,1,16128.8,"PAN-PRD",50657086,50657086,4394083.2,534,182807376
"97","Chiapas","Cintalapa",16.6432854,-93.7622204,7017,NA,NA,2.2,6.2,0.835813647471646,0.00128454163794724,0.0583164921305653,0.135993699133631,9,74557.2,"PRD",133884019,133884019,4394083.2,534,182807376
"98","Chiapas","Coapilla",17.1306334,-93.1601864,7018,NA,NA,0.7,4.5,0.799056172933475,0.00334906378444208,0.152472324723247,0.074540174249758,2,7833.6,"PAN-PRD",23096055,23096055,4394083.2,534,182807376
