	1990-t	1990-h	1991-t	1991-h	1992-t	1992-h	1993-t	1993-h	1994-t	1994--h	1995-t	1995-h	1996-t	1996-h	1997-t	1997-h	1998-t	1998-h	1999-t	1999-h	2000-t	2000-h	2001-t	2001-h	2022-t	2002-h	2003-t	2003-h	2004-t	2004-h	2005-t	2005-h	2006-t	2006-h	2007-t	2007-h	2008-t	2008-h	2009-t	2009-h	2010-t	2010-h
San Antonio Acutla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
San Antonio de la Cal	6	2	3	1	6	2	5	1	6	0	7	4	8	1	7	0	10	2	9	3	9	5	9	3	11	3	7	1	4	0	16	2	34	19	8	0	9	1	6	1	17	3
San Antonio Huitepec	2	1	2	0	0	0	5	0	3	0	1	0	3	0	4	1	0	0	1	0	1	1	1	0	0	0	2	0	3	0	0	0	1	0	1	1	1	1	5	0	2	0
San Antonio Nanahuatípam	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	3	2	0	0	1	0	0	0	1	1	2	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1
San Antonio Sinicahua	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	2	1	0	0	1	0
San Antonio Tepetlapa	3	2	2	1	4	2	4	3	3	2	3	2	0	0	0	0	2	2	0	0	6	3	4	2	1	0	0	0	2	1	1	0	3	1	0	0	1	1	5	1	2	0
San Baltazar Chichicápam	1	0	3	1	1	1	0	0	2	1	4	0	3	2	2	2	4	3	1	0	1	0	0	0	1	0	4	0	3	0	0	0	1	0	2	0	4	1	4	1	2	0
San Baltazar Loxicha	0	0	1	1	1	1	2	0	0	0	2	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	4	0	1	0	1	0	5	1	0	0	1	1	1	0	1	0
San Baltazar Yatzachi el Bajo	0	0	1	0	2	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0
San Bartolo Coyotepec	3	0	3	0	7	0	0	0	0	0	8	1	1	0	1	0	3	0	4	0	2	0	2	0	7	0	1	0	1	0	1	0	1	0	4	0	1	1	3	1	4	3
San Bartolomé Ayautla	1	0	0	0	1	0	1	0	3	3	0	0	1	0	2	0	5	1	2	1	4	0	0	0	2	1	5	2	3	0	3	1	1	0	1	0	2	0	2	1	2	0
San Bartolomé Loxicha	4	4	2	2	5	4	0	0	4	4	4	2	5	3	9	6	0	0	5	4	2	1	1	0	1	1	2	1	3	1	2	1	2	2	0	0	5	5	2	2	0	0
San Bartolomé Quialana	0	0	2	1	1	0	2	0	2	0	0	0	0	0	1	0	2	1	2	0	1	0	0	0	1	1	3	0	2	0	1	0	4	2	0	0	1	0	2	0	1	0
San Bartolomé Yucuañe	0	0	1	1	0	0	1	0	0	0	5	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0
San Bartolomé Zoogocho	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
San Bartolo Soyaltepec	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
San Bartolo Yautepec	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0
San Bernardo Mixtepec	0	0	1	0	0	0	2	0	1	0	2	1	0	0	0	0	3	1	0	0	1	0	0	0	2	0	2	0	2	0	3	1	2	1	1	0	2	0	1	0	0	0
San Blas Atempa	4	3	2	1	10	7	10	9	11	5	10	9	11	9	8	5	12	8	6	5	1	1	6	0	5	1	2	0	2	1	3	0	6	1	2	0	9	5	0	0	11	1
San Carlos Yautepec	26	17	16	11	18	12	20	18	7	5	24	6	10	6	17	4	13	9	14	8	9	5	7	4	10	7	14	4	6	4	7	0	7	4	11	4	17	9	7	3	5	0
San Cristóbal Amatlán	2	1	1	1	4	3	2	0	0	0	1	0	0	0	2	0	1	0	2	0	1	0	2	0	0	0	0	0	0	0	6	1	2	1	0	0	1	1	1	1	3	2
San Cristóbal Amoltepec	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0
San Cristóbal Lachirioag	2	0	0	0	1	0	2	0	1	0	2	0	2	0	0	0	0	0	1	0	2	0	2	1	0	0	1	0	0	0	1	0	2	1	4	0	0	0	0	0	0	0
San Cristóbal Suchixtlahuaca	1	0	2	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0
San Dionisio del Mar	0	0	0	0	0	0	2	2	1	0	0	0	2	0	2	0	11	4	2	1	1	0	1	0	3	1	1	0	0	0	1	1	1	0	1	0	1	0	1	0	4	1
San Dionisio Ocotepec	6	5	4	3	3	0	5	4	4	2	4	1	8	3	4	2	4	0	2	1	4	1	5	1	4	0	5	1	3	2	8	1	2	2	3	0	4	0	6	2	5	0
San Dionisio Ocotlán	0	0	0	0	2	0	0	0	1	1	2	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0
San Esteban Atatlahuca	2	2	0	0	1	1	2	0	2	0	2	0	7	0	2	0	2	0	1	0	1	0	0	0	3	0	6	0	5	2	3	1	3	0	1	0	2	0	3	0	4	0
San Felipe Jalapa de Díaz	1	0	5	2	8	3	6	3	9	6	9	3	4	3	5	1	5	0	11	1	9	1	4	1	6	1	9	4	9	5	8	3	9	1	12	2	11	1	14	1	7	1
San Felipe Tejalápam	2	0	0	0	2	1	0	0	5	0	2	0	1	0	3	0	5	1	0	0	2	1	3	1	2	0	2	0	4	3	6	0	2	0	5	2	3	2	1	0	2	0
San Felipe Usila	4	1	1	0	4	3	2	1	9	5	5	0	4	0	4	1	1	0	2	0	5	4	5	1	5	0	3	0	6	3	10	6	4	1	5	1	7	0	4	1	5	2
San Francisco Cahuacuá	2	0	0	0	0	0	1	0	6	4	3	0	4	2	1	1	2	1	3	2	5	3	1	0	4	4	2	0	4	1	0	0	0	0	1	0	5	0	2	0	0	0
San Francisco Cajonos	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0
San Francisco Chapulapa	4	4	8	6	7	5	15	15	4	4	5	4	6	6	2	2	2	1	1	1	1	0	1	1	3	2	3	3	1	1	1	1	3	1	0	0	2	2	2	2	0	0
San Francisco Chindúa	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	2	0	0	0
San Francisco del Mar	0	0	1	1	3	1	1	0	5	4	2	0	1	0	2	0	5	4	4	3	6	1	4	0	3	0	4	0	3	1	3	1	2	0	1	0	2	1	4	1	1	0
San Francisco Huehuetlán	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	1	4	3	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1
San Francisco Ixhuatán	1	0	8	5	5	2	10	3	4	2	5	1	12	7	3	1	5	4	10	2	8	4	2	1	10	3	7	1	3	0	5	0	5	0	4	1	3	0	4	3	8	5
San Francisco Jaltepetongo	1	0	4	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	3	1	1	0	2	0	1	0	1	0	1	0	0	0	0	0
San Francisco Lachigoló	1	0	1	0	2	1	0	0	1	0	2	0	2	0	1	0	2	1	3	1	2	0	1	1	1	0	0	0	2	0	2	0	4	1	2	0	3	0	2	0	4	1
San Francisco Logueche	1	0	2	2	0	0	0	0	2	0	2	0	2	1	2	1	1	0	0	0	0	0	1	0	1	0	2	1	1	1	1	0	0	0	3	1	0	0	1	0	1	0
San Francisco Nuxaño	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
San Francisco Ozolotepec	0	0	1	0	1	0	0	0	1	0	1	1	1	1	4	0	1	0	1	0	6	0	2	1	2	0	0	0	2	0	2	1	2	0	0	0	1	1	2	0	6	4
San Francisco Sola	2	2	0	0	2	1	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
San Francisco Telixtlahuaca	8	1	6	2	9	1	13	6	5	0	3	1	6	0	3	1	7	0	3	1	5	1	8	1	5	2	6	1	2	0	2	0	5	1	7	0	9	0	5	1	7	1
San Francisco Teopan	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
San Francisco Tlapancingo	3	1	0	0	0	0	4	0	0	0	3	0	0	0	2	1	0	0	0	0	1	0	3	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0
San Gabriel Mixtepec	3	0	3	2	7	5	2	2	4	1	8	4	5	3	2	2	1	0	2	1	1	1	0	0	2	0	2	0	0	0	3	1	1	0	4	1	1	0	4	3	4	2
San Ildefonso Amatlán	1	1	1	1	0	0	2	1	0	0	1	1	0	0	1	0	0	0	2	2	2	2	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0
San Ildefonso Sola	1	1	0	0	0	0	1	0	2	2	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	2	0	0	0	2	1	1	0	1	0	1	0
San Ildefonso Villa Alta	3	2	2	1	3	0	0	0	2	1	3	2	2	0	2	0	1	1	9	0	4	1	2	0	3	0	3	0	3	3	6	0	1	0	2	1	2	0	5	2	4	0
San Jacinto Amilpas	1	0	2	1	4	2	0	0	3	1	5	0	5	2	4	0	5	0	6	1	3	1	6	1	5	1	4	1	8	1	2	0	4	0	6	0	7	0	6	3	5	0
San Jacinto Tlacotepec	0	0	3	3	1	1	13	12	2	0	3	3	1	1	1	1	3	1	3	2	2	1	1	0	2	0	2	2	1	1	1	1	1	0	0	0	2	1	4	4	1	1
San Jerónimo Coatlán	9	9	5	4	9	6	5	5	14	10	6	6	3	1	5	5	7	3	3	2	4	1	9	8	2	1	8	5	3	3	7	5	2	1	2	1	2	0	3	2	2	1
San Jerónimo Silacayoapilla	2	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	5	2	0	0	2	0	3	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	1	0
San Jerónimo Sosola	0	0	0	0	2	0	1	0	7	1	2	0	0	0	2	0	0	0	0	0	0	0	4	0	4	0	2	0	3	0	0	0	3	0	3	0	2	0	1	0	0	0
San Jerónimo Taviche	0	0	1	0	3	2	0	0	3	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	4	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0
San Jerónimo Tecóatl	0	0	0	0	1	0	4	1	1	0	6	0	2	0	1	0	0	0	1	1	0	0	3	2	1	0	4	0	2	0	1	0	0	0	2	2	1	0	4	1	2	1
San Jorge Nuchita	2	0	3	1	4	2	2	2	0	0	0	0	0	0	2	1	2	0	2	0	2	0	0	0	1	1	6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
San José Ayuquila	0	0	0	0	0	0	0	0	2	2	4	3	2	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	3	1	1	0	1	0	0	0	0	0	2	0
San José Chiltepec	4	0	6	1	6	1	3	2	5	2	5	2	3	0	5	1	3	1	2	1	5	0	6	1	3	0	8	2	5	2	3	2	0	0	5	0	4	2	9	0	5	0
San José del Peñasco	0	0	1	1	1	1	2	2	1	0	0	0	0	0	1	1	1	0	2	2	1	0	3	3	1	0	0	0	1	1	2	0	0	0	2	0	6	5	2	0	0	0
San José Estancia Grande	1	0	2	2	0	0	3	3	0	0	1	0	1	0	0	0	1	0	3	1	1	1	0	0	1	0	1	0	1	1	0	0	3	0	1	0	0	0	1	1	0	0
San José Independencia	3	0	6	1	0	0	0	0	1	1	0	0	3	0	0	0	0	0	2	0	1	0	1	0	8	4	1	1	7	3	3	1	1	0	1	0	1	0	2	0	4	1
San José Lachiguiri	3	2	2	1	3	1	1	1	3	1	4	3	3	2	0	0	3	0	2	1	0	0	2	1	1	1	1	0	4	0	2	1	2	0	4	0	2	1	1	1	4	2
San José Tenango	6	5	8	3	11	8	8	5	2	1	14	10	9	7	9	3	13	12	7	4	11	8	16	10	10	5	16	11	16	15	15	9	2	1	12	3	5	3	7	2	14	2
San Juan Achiutla	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	1	0	1	0	3	0
San Juan Atepec	0	0	0	0	0	0	3	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	2	0	3	1	1	0	2	0	2	1	4	1	0	0	2	0	1	0	5	2
Ánimas Trujano	1	0	1	0	1	0	1	0	2	1	3	1	1	0	4	1	3	0	2	0	2	1	2	0	0	0	2	0	0	0	1	0	2	1	1	0	1	0	3	0	1	0
San Juan Bautista Atatlahuca	2	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	2	1
San Juan Bautista Coixtlahuaca	3	2	0	0	5	1	2	0	1	0	5	0	8	1	5	0	5	0	3	0	2	0	3	0	3	0	1	0	2	1	4	0	4	0	3	0	0	0	3	0	5	3
San Juan Bautista Cuicatlán	16	3	9	2	11	2	9	4	10	2	16	4	14	5	10	3	9	1	11	6	7	2	5	2	8	3	7	1	9	3	1	0	7	1	9	2	5	1	3	2	11	2
San Juan Bautista Guelache	3	1	6	1	5	2	3	0	2	0	2	0	0	0	2	0	3	0	3	0	2	0	1	1	0	0	6	1	1	0	0	0	2	1	4	0	2	0	3	0	2	1
San Juan Bautista Jayacatlán	2	0	0	0	1	0	3	0	3	2	1	0	2	0	1	0	3	1	0	0	2	0	2	2	1	0	2	1	2	0	3	0	1	0	1	0	2	0	0	0	0	0
San Juan Bautista Lo de Soto	1	1	7	5	2	1	1	1	1	1	1	1	4	3	0	0	2	2	1	1	3	2	3	1	2	1	1	1	4	1	0	0	1	1	1	0	3	2	4	1	4	3
San Juan Bautista Suchitepec	1	0	1	0	1	0	0	0	2	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
San Juan Bautista Tlacoatzintepec	0	0	2	0	2	1	0	0	1	0	0	0	2	0	1	1	2	2	2	0	1	0	0	0	3	1	0	0	2	0	1	0	0	0	0	0	3	1	1	0	1	0
San Juan Bautista Tlachichilco	0	0	1	1	3	1	0	0	0	0	0	0	4	1	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	1
San Juan Bautista Tuxtepec	86	27	96	36	111	37	87	48	111	40	102	35	95	44	96	32	88	28	89	24	67	14	71	15	89	31	98	27	74	31	84	31	89	19	79	19	98	19	90	22	105	39
San Juan Cacahuatepec	9	5	10	9	14	11	16	12	11	8	4	2	7	7	5	3	6	0	9	1	7	3	4	3	6	2	3	2	8	3	5	3	5	1	5	0	6	3	6	2	5	4
San Juan Cieneguilla	2	1	0	0	3	2	3	0	0	0	0	0	2	1	0	0	1	1	2	1	1	0	2	1	0	0	1	1	1	1	0	0	2	1	1	0	0	0	1	0	0	0
San Juan Coatzóspam	0	0	0	0	0	0	2	0	1	0	5	0	1	0	1	0	0	0	2	0	2	1	1	0	2	0	0	0	1	0	1	0	1	0	9	0	3	0	2	2	0	0
San Juan Colorado	6	3	3	2	4	4	0	0	2	1	4	3	3	2	6	2	2	1	4	1	2	1	3	0	5	3	2	1	1	0	2	1	2	0	1	0	2	1	5	4	7	4
San Juan Comaltepec	2	1	2	2	1	1	2	1	1	0	1	0	3	0	0	0	3	0	3	1	1	1	0	0	1	0	1	0	1	0	3	0	0	0	2	0	1	0	1	1	2	0
San Juan Cotzocón	28	15	27	14	19	10	15	9	20	8	15	10	10	4	10	5	7	3	14	7	17	5	7	5	7	2	12	5	7	2	10	2	13	3	12	6	11	3	12	2	11	3
San Juan Chicomezúchil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	3	0	0	0	0	0	0	0
San Juan Chilateca	1	0	1	0	2	0	2	1	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	1	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0
San Juan del Estado	2	0	1	1	1	0	1	0	9	0	1	1	5	0	0	0	2	0	1	0	1	0	1	1	1	0	2	0	3	1	3	0	3	0	3	0	1	0	1	0	1	0
San Juan del Río	0	0	2	1	1	1	1	0	2	0	2	1	2	1	0	0	1	0	1	0	0	0	0	0	0	0	5	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0
San Juan Diuxi	1	1	2	0	0	0	1	0	1	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	1	0	0	0
San Juan Evangelista Analco	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
San Juan Guelavía	1	0	1	1	0	0	1	0	2	0	1	0	0	0	2	0	1	0	3	0	4	1	4	1	1	1	1	0	3	0	3	0	6	0	3	2	1	0	5	3	3	0
San Juan Guichicovi	25	16	18	7	27	9	22	15	19	7	11	4	34	10	17	4	21	5	25	10	26	13	17	7	16	2	14	2	13	2	19	3	18	3	14	2	11	2	17	1	20	6
San Juan Ihualtepec	1	1	0	0	0	0	0	0	2	1	1	0	1	1	2	1	0	0	1	1	3	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	1	0
San Juan Juquila Mixes	1	0	6	3	3	2	4	1	0	0	3	2	6	5	3	1	3	1	4	2	1	0	1	0	1	1	2	0	2	0	2	0	3	0	3	3	4	0	2	2	1	1
San Juan Juquila Vijanos	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	1	3	3	2	0	4	1	1	0	0	0	0	0
San Juan Lachao	2	2	5	5	0	0	1	0	2	1	4	2	2	1	4	0	2	2	2	0	2	2	1	1	0	0	3	3	0	0	4	2	2	2	0	0	0	0	2	1	2	0
San Juan Lachigalla	5	5	2	2	6	6	4	3	4	4	4	4	7	7	0	0	3	3	3	2	2	1	1	1	3	3	0	0	4	1	0	0	3	1	1	0	4	2	1	0	0	0
San Juan Lajarcia	1	0	2	2	0	0	1	0	0	0	1	1	0	0	2	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1
San Juan Lalana	20	9	8	1	10	4	10	6	7	3	14	6	4	4	6	2	11	2	7	1	8	2	9	3	6	4	8	1	9	4	5	2	2	0	6	1	8	0	9	1	11	2
San Juan de los Cués	4	1	1	0	2	0	1	0	1	0	1	0	1	1	1	0	2	0	3	1	2	1	2	0	2	0	4	2	2	0	1	0	0	0	5	1	0	0	2	0	0	0
San Juan Mazatlán	16	10	9	5	20	7	20	10	11	3	23	11	9	4	13	6	10	2	12	5	10	2	6	3	9	3	2	1	7	5	12	5	9	3	15	2	11	3	12	1	7	2
San Juan Mixtepec -Dto. 08 -	21	5	7	0	10	2	10	8	5	2	6	5	6	1	6	0	12	5	8	1	7	1	4	1	9	3	5	2	9	5	9	3	2	1	7	1	1	0	3	0	4	0
San Juan Mixtepec -Dto. 26 -	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
San Juan Ñumí	4	2	2	1	0	0	2	0	1	1	1	0	3	0	3	1	1	1	4	2	2	0	2	0	4	0	9	0	7	0	2	1	2	0	5	1	4	2	1	0	4	3
San Juan Ozolotepec	9	9	6	6	3	1	6	5	4	3	2	2	5	5	10	8	12	9	2	2	1	0	3	1	2	1	4	3	3	1	4	4	2	2	4	2	0	0	5	4	2	1
San Juan Petlapa	0	0	2	0	2	0	0	0	0	0	7	0	8	2	3	0	4	1	1	0	2	0	1	0	3	1	2	1	5	2	1	0	5	0	4	0	3	0	3	0	2	0
San Juan Quiahije	1	1	7	5	4	4	7	7	2	2	12	11	5	3	8	3	4	3	2	1	8	3	3	1	2	1	2	1	3	0	2	0	4	1	2	0	2	2	4	1	1	0
San Juan Quiotepec	2	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	3	0	3	0	1	0	3	0	1	0	1	0	1	0	2	0	3	0
San Juan Sayultepec	0	0	2	2	0	0	0	0	4	4	2	0	0	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0
San Juan Tabaá	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0
San Juan Tamazola	2	1	3	2	2	1	1	1	2	1	7	1	1	0	0	0	0	0	2	1	0	0	3	0	3	0	0	0	2	1	2	0	1	0	0	0	4	0	3	0	5	0
San Juan Teita	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	2	0
San Juan Teitipac	1	0	2	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	2	0	2	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	2	1	1	0
San Juan Tepeuxila	2	1	1	0	3	1	2	0	1	0	4	0	1	0	1	0	5	1	3	0	2	0	0	0	0	0	0	0	2	0	3	2	1	0	7	2	0	0	4	0	5	1
San Juan Teposcolula	0	0	3	0	4	1	4	1	0	0	3	0	0	0	0	0	6	0	0	0	2	0	3	1	1	0	2	0	2	0	0	0	0	0	3	1	1	0	1	0	1	1
San Juan Yaeé	0	0	4	1	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0
San Juan Yatzona	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
San Juan Yucuita	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
San Lorenzo	6	6	2	2	2	2	0	0	2	1	3	2	6	4	6	1	3	2	4	3	4	4	3	1	3	1	7	4	2	1	1	0	5	1	3	1	2	0	1	1	2	1
San Lorenzo Albarradas	0	0	1	0	0	0	0	0	1	0	0	0	1	0	3	2	5	1	0	0	1	1	0	0	3	1	1	0	0	0	1	0	1	0	2	1	4	0	4	0	1	0
San Lorenzo Cacaotepec	3	1	2	0	1	0	4	0	6	3	5	1	2	0	3	0	8	2	5	0	6	1	3	1	7	1	0	0	7	0	7	1	3	0	9	1	8	1	5	1	4	2
San Lorenzo Cuaunecuiltitla	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
San Lorenzo Texmelúcan	10	9	4	4	5	3	3	0	1	1	7	1	1	1	10	9	12	12	3	0	7	3	2	2	5	4	4	4	11	4	3	1	4	2	1	1	8	2	4	2	0	0
San Lorenzo Victoria	3	0	0	0	3	1	3	1	0	0	0	0	0	0	4	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	5	1	1	0	0	0	1	0	0	0	1	0
San Lucas Camotlán	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	2	2	2	1	0	0	3	0	4	0	0	0	2	1	3	0	2	1	0	0	4	2
San Lucas Ojitlán	22	7	12	5	15	7	19	9	18	7	19	8	26	16	28	15	21	9	12	3	12	3	16	6	18	6	11	4	9	4	13	6	9	3	16	8	10	3	11	2	11	0
San Lucas Quiaviní	0	0	0	0	0	0	1	0	1	0	1	0	2	0	2	1	3	1	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0
San Lucas Zoquiápam	6	3	6	4	3	1	6	1	1	1	5	1	2	0	2	1	2	2	6	2	6	1	1	0	2	1	3	0	8	1	6	0	6	0	6	1	4	1	8	2	6	0
San Luis Amatlán	4	2	3	1	2	1	3	3	0	0	2	2	1	1	0	0	5	5	4	4	3	3	2	1	3	2	1	1	2	2	3	1	2	1	2	0	0	0	0	0	0	0
San Marcial Ozolotepec	5	4	2	2	2	1	3	1	4	4	2	1	1	1	3	1	6	4	3	1	0	0	2	0	0	0	1	0	4	3	3	0	4	1	1	1	2	1	0	0	6	1
San Marcos Arteaga	1	0	0	0	2	0	1	0	0	0	3	1	1	0	0	0	2	0	2	0	0	0	4	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
San Martín de los Cansecos	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
San Martín Huamelúlpam	1	0	1	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	3	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	1	0	1	1
San Martín Itunyoso	7	6	1	1	3	2	3	1	1	1	2	1	3	2	2	1	1	0	1	0	0	0	2	0	6	0	0	0	2	0	7	6	0	0	0	0	0	0	0	0	1	1
San Martín Lachilá	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	2	0	0	0	1	0	2	1	1	1	0	0	0	0	0	0	2	1	0	0	0	0
San Martín Peras	3	2	5	2	5	4	7	4	6	2	20	1	4	2	9	2	4	2	12	6	13	0	10	2	14	5	8	1	5	0	7	1	5	2	9	4	9	0	5	1	2	1
San Martín Tilcajete	2	0	2	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	2	0	1	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	6	3
San Martín Toxpalan	0	0	1	0	0	0	2	0	0	0	1	1	4	0	1	0	0	0	5	0	0	0	1	1	2	1	0	0	2	1	3	0	0	0	1	1	2	0	0	0	0	0
San Martín Zacatepec	4	1	0	0	1	0	3	0	2	2	0	0	2	0	2	0	2	1	2	1	2	0	3	2	0	0	2	1	0	0	5	0	0	0	0	0	1	0	1	1	1	0
San Mateo Cajonos	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capulálpam de Méndez	2	0	0	0	0	0	1	0	1	1	2	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	2	0	0	0	0	0
San Mateo del Mar	5	1	10	6	4	3	7	3	5	4	6	3	9	1	9	5	5	0	4	1	10	5	3	2	3	2	11	4	2	2	6	1	2	0	3	1	6	1	6	1	5	0
